docid	title	date_year	decade	recipient	recipient_id	recipient_short	recipient_gender	recipient_type	n_words
BC_1746_EMONTAGU_AD	Letter from Elizabeth Montagu to Anne Donnellan	1746	1740	Anne Donnellan	#AD	Anne Donnellan	female	friends	121
BC_1761_EMONTAGU_EV	Letter from Elizabeth Montagu to Elizabeth Vesey	1761	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1015
BC_1782_EMONTAGU_SS	Letter from Elizabeth Montagu to Sarah Scott	1782	1780	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	81
BC_1765_EMONTAGU_EV_3	Letter from Elizabeth Montagu to Elizabeth Vesey	1765	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1441
BC_1770_EMONTAGU_EC_1	Letter from Elizabeth Montagu to Elizabeth Carter	1770	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	545
BC_1786_EMONTAGU_SS_2	Letter from Elizabeth Montagu to Sarah Scott	1786	1780	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	951
BC_1768_EMONTAGU_EC_5	Letter from Elizabeth Montagu to Elizabeth Carter	1768	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	866
BC_1777_EMONTAGU_HR	Letter from Elizabeth Montagu to Matthew Robinson	1777	1770	Matthew Robinson junior? junior, Esquire?, 2nd Baron Rokeby and 4th Baronet	#HR	Matthew Robinson junior	male	nuclear family	1228
BC_1775_EMONTAGU_EC_2	Letter from Elizabeth Montagu to Elizabeth Carter	1775	1770	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	588
BC_1769_EMONTAGU_BS	Letter from Elizabeth Montagu to Benjamin Stillingfleet	1769	1760	Benjamin Stillingfleet, Esq.	#BS	Benjamin Stillingfleet	male	friends	572
BC_1760_EMONTAGU_WP_1	Letter from Elizabeth Montagu to William Pulteney, Earl of Bath	1760	1750	William Pulteney, 1st Earl of Bath	#WP	William Pulteney	male	friends	766
BC_1768_EMONTAGU_ED_4	Letter from Elizabeth Montagu to Edward Montagu	1768	1760	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	539
BC_1766_EMONTAGU_EV_1	Letter from Elizabeth Montagu to Elizabeth Vesey	1766	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	977
BC_1760_EMONTAGU_GL_2	Letter from Elizabeth Montagu to Lord Lyttelton	1760	1750	George Lyttelton, 1st Baron Lyttelton of Frankley	#GL	George Lyttelton	male	friends	873
BC_1761_EMONTAGU_SS_1	Letter from Elizabeth Montagu to Sarah Scott	1761	1760	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	1482
BC_1763_EMONTAGU_EV_2	Letter from Elizabeth Montagu to Elizabeth Vesey	1763	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1734
