img,parish_all,parish_rem
LMSLPS150320123,1,1
LMSLPS150320125,1,1
LMSLPS150320127,1,1
LMSLPS150320129,1,1
LMSLPS150320131,1,1
LMSLPS150320133,1,1
LMSLPS150320135,1,1
LMSLPS150320136,1,1
LMSLPS150320138,1,1
LMSLPS150320140,1,1
LMSLPS150320142,1,1
LMSLPS150320144,1,1
LMSLPS150320146,1,1
LMSLPS150320148,1,1
LMSLPS150320150,1,1
LMSLPS150320152,1,1
LMSLPS150320154,1,1
LMSLPS150320156,1,1
LMSLPS150320158,1,1
LMSLPS150320161,1,0
LMSLPS150320164,0,0
LMSLPS150320166,0,0
LMSLPS150320167,0,0
LMSLPS150320168,0,0
LMSLPS150320169,0,0
LMSLPS150320170,0,0
LMSLPS150330041,0,0
LMSLPS150330055,0,0
LMSLPS150330068,1,0
LMSLPS150330069,1,0
LMSLPS150330114,1,1
LMSLPS150330115,0,0
LMSLPS150330117,0,0
LMSLPS150330119,0,0
LMSLPS150330120,1,0
LMSLPS150330122,0,0
LMSLPS150330123,0,0
LMSLPS150330125,0,0
LMSLPS150330126,0,0
LMSLPS150330127,0,0
LMSLPS150330129,0,0
LMSLPS150330130,0,0
LMSLPS150330132,1,1
LMSLPS150330134,1,1
LMSLPS150330138,1,1
LMSLPS150330140,1,1
LMSLPS150330141,1,1
LMSLPS150330143,1,1
LMSLPS150330145,1,1
LMSLPS150330147,1,1
LMSLPS150330149,1,1
LMSLPS150330151,1,1
LMSLPS150330153,1,1
LMSLPS150330155,1,1
LMSLPS150330157,1,1
LMSLPS150330159,1,1
LMSLPS150330161,1,1
LMSLPS150330163,1,1
LMSLPS150330165,1,1
LMSLPS150330167,1,1
LMSLPS150330169,1,1
LMSLPS150330171,1,1
LMSLPS150340004,0,0
LMSLPS150340046,0,0
LMSLPS150340049,1,0
LMSLPS150340050,0,0
LMSLPS150340057,0,0
LMSLPS150340058,0,0
LMSLPS150340068,0,0
LMSLPS150340079,0,0
LMSLPS150340080,0,0
LMSLPS150340095,1,1
LMSLPS150340097,1,1
LMSLPS150340099,1,1
LMSLPS150340101,1,1
LMSLPS150340103,1,1
LMSLPS150340105,1,1
LMSLPS150340107,1,1
LMSLPS150340109,1,1
LMSLPS150340111,1,1
LMSLPS150340113,1,1
LMSLPS150340115,1,1
LMSLPS150340117,1,1
LMSLPS150340119,1,1
LMSLPS150340121,1,1
LMSLPS150340122,1,1
LMSLPS150340124,1,1
LMSLPS150340127,1,1
LMSLPS150340129,1,1
LMSLPS150340130,1,1
LMSLPS150340132,1,1
LMSLPS150340135,1,1
LMSLPS150340137,0,0
LMSLPS150340138,0,0
LMSLPS150340142,0,0
LMSLPS150350021,0,0
LMSLPS150350048,0,0
LMSLPS150350049,0,0
LMSLPS150350050,1,0
LMSLPS150350076,0,0
LMSLPS150350088,0,0
LMSLPS150350091,1,0
LMSLPS150350116,0,0
LMSLPS150350118,1,1
LMSLPS150350120,1,1
LMSLPS150350122,1,1
LMSLPS150350124,1,1
LMSLPS150350126,1,1
LMSLPS150350128,1,1
LMSLPS150350130,1,1
LMSLPS150350133,1,1
LMSLPS150350136,1,1
LMSLPS150350138,1,1
LMSLPS150350140,1,1
LMSLPS150350142,1,1
LMSLPS150350144,1,1
LMSLPS150350146,1,1
LMSLPS150350148,1,1
LMSLPS150350150,1,1
LMSLPS150350152,1,1
LMSLPS150350154,1,1
LMSLPS150350156,1,1
LMSLPS150350158,1,1
LMSLPS150350160,1,1
LMSLPS150350162,1,1
LMSLPS150350164,1,1
LMSLPS150350166,1,1
LMSLPS150360022,0,0
LMSLPS150360030,0,0
LMSLPS150360083,0,0
LMSLPS150360084,0,0
LMSLPS150360086,0,0
LMSLPS150360087,0,0
LMSLPS150360091,1,1
LMSLPS150360093,1,1
LMSLPS150360095,1,1
LMSLPS150360097,1,1
LMSLPS150360099,1,1
LMSLPS150360102,1,1
LMSLPS150360104,1,1
LMSLPS150360106,1,1
LMSLPS150360108,1,1
LMSLPS150360110,1,1
LMSLPS150360112,1,1
LMSLPS150360114,1,1
LMSLPS150360116,1,1
LMSLPS150360118,1,1
LMSLPS150360120,1,1
LMSLPS150370011,0,0
LMSLPS150370012,0,0
LMSLPS150370013,1,0
LMSLPS150370030,0,0
LMSLPS150370040,0,0
LMSLPS150370046,1,1
LMSLPS150370047,1,1
LMSLPS150370049,1,1
LMSLPS150370051,1,1
LMSLPS150370053,1,1
LMSLPS150370055,1,1
LMSLPS150370058,1,1
LMSLPS150370059,1,1
LMSLPS150370061,1,1
LMSLPS150370063,1,1
LMSLPS150370066,1,1
LMSLPS150370068,1,1
LMSLPS150400018,0,0
LMSLPS150400022,1,1
LMSLPS150410012,0,0
LMSLPS150410020,0,0
LMSLPS150410049,0,0
LMSLPS150410053,0,0
LMSLPS150410091,0,0
LMSLPS150410097,1,1
LMSLPS150410099,1,1
LMSLPS150410101,1,1
LMSLPS150410103,1,1
LMSLPS150410105,1,1
LMSLPS150410107,1,1
LMSLPS150410111,1,1
LMSLPS150410113,1,1
LMSLPS150410116,1,1
LMSLPS150410118,1,1
LMSLPS150410120,1,1
LMSLPS150410122,1,1
LMSLPS150410124,1,1
LMSLPS150410128,1,1
LMSLPS150410129,1,1
LMSLPS150410132,0,0
LMSLPS150410135,0,0
LMSLPS150410136,0,0
LMSLPS150410137,0,0
LMSLPS150410138,0,0
LMSLPS150410139,0,0
LMSLPS150410140,0,0
LMSLPS150410141,0,0
LMSLPS150410142,0,0
LMSLPS150410143,1,0
LMSLPS150420017,0,0
LMSLPS150420037,0,0
LMSLPS150420039,0,0
LMSLPS150420042,0,0
LMSLPS150420045,0,0
LMSLPS150420101,1,1
LMSLPS150420103,1,1
LMSLPS150420107,1,1
LMSLPS150420110,1,1
LMSLPS150420111,1,1
LMSLPS150420113,1,1
LMSLPS150420117,1,1
LMSLPS150420118,1,1
LMSLPS150420120,1,1
LMSLPS150420123,1,1
LMSLPS150420124,1,1
LMSLPS150420127,1,1
LMSLPS150420129,1,1
LMSLPS150420130,1,1
LMSLPS150420133,1,1
LMSLPS150420134,1,1
LMSLPS150420136,1,1
LMSLPS150420138,1,1
LMSLPS150420141,1,1
LMSLPS150420142,1,1
LMSLPS150420144,1,1
LMSLPS150420146,1,1
LMSLPS150420150,1,1
LMSLPS150420151,1,1
LMSLPS150420157,0,0
LMSLPS150420158,0,0
LMSLPS150430003,0,0
LMSLPS150430018,0,0
LMSLPS150430020,0,0
LMSLPS150430021,0,0
LMSLPS150430506,0,0
LMSLPS150430513,0,0
LMSLPS150430514,0,0
LMSLPS150430517,0,0
